Date,Symbol,Close,Open,High,Low,Volume
2024-09-25,MGL_TECH,150.32,149.64,150.63,148.28,893946
2024-09-26,MGL_TECH,149.18,148.9,149.44,148.57,469667
2024-09-27,MGL_TECH,150.11,150.41,151.94,149.62,924900
2024-09-28,MGL_TECH,150.43,150.31,152.34,150.28,741168
2024-09-29,MGL_TECH,147.91,147.48,148.97,146.62,647352
2024-09-30,MGL_TECH,151.7,151.88,151.76,151.23,967701
2024-10-01,MGL_TECH,152.79,153.55,153.9,151.31,284021
2024-10-02,MGL_TECH,152.58,152.48,154.41,152.29,165924
2024-10-03,MGL_TECH,155.15,155.51,156.26,153.29,480262
2024-10-04,MGL_TECH,155.99,155.72,157.73,154.53,496350
2024-10-05,MGL_TECH,153.95,153.94,154.15,153.07,204681
2024-10-06,MGL_TECH,150.0,149.77,150.45,148.24,847127
2024-10-07,MGL_TECH,151.37,150.85,151.84,150.58,142901
2024-10-08,MGL_TECH,153.2,153.59,154.55,152.81,193823
2024-10-09,MGL_TECH,156.37,156.4,158.64,155.72,805117
2024-10-10,MGL_TECH,151.35,150.96,152.0,150.21,757909
2024-10-11,MGL_TECH,153.54,153.59,153.65,151.72,366813
2024-10-12,MGL_TECH,155.28,155.18,155.67,153.84,719220
2024-10-13,MGL_TECH,154.27,154.87,156.32,152.71,476100
2024-10-14,MGL_TECH,149.72,149.04,151.4,148.36,736776
2024-10-15,MGL_TECH,147.65,147.34,148.78,146.76,931572
2024-10-16,MGL_TECH,149.88,150.13,150.49,148.05,388882
2024-10-17,MGL_TECH,148.97,148.65,149.65,148.34,875289
2024-10-18,MGL_TECH,145.58,145.48,146.77,145.43,587020
2024-10-19,MGL_TECH,144.65,144.48,145.05,143.26,824588
2024-10-20,MGL_TECH,143.2,142.55,144.77,141.62,211973
2024-10-21,MGL_TECH,141.45,141.63,143.14,141.39,229201
2024-10-22,MGL_TECH,138.76,138.29,140.52,136.76,540160
2024-10-23,MGL_TECH,140.7,140.82,141.11,139.89,685464
2024-10-24,MGL_TECH,140.56,140.4,141.7,140.27,648484
2024-10-25,MGL_TECH,142.05,142.72,143.32,139.98,850113
