Year,State,GDP
1985,California,1200
1985,Texas,950
1985,Florida,720
1985,New York,1100
1985,Arizona,480
1986,California,1250
1986,Texas,980
1986,Florida,750
1986,New York,1150
1986,Arizona,510
1987,California,1310
1987,Texas,1020
1987,Florida,780
1987,New York,1190
1987,Arizona,540
1988,California,1380
1988,Texas,1060
1988,Florida,820
1988,New York,1240
1988,Arizona,580
1989,California,1450
1989,Texas,1110
1989,Florida,860
1989,New York,1290
1989,Arizona,620
1990,California,1530
1990,Texas,1160
1990,Florida,910
1990,New York,1350
1990,Arizona,660
1991,California,1620
1991,Texas,1210
1991,Florida,950
1991,New York,1400
1991,Arizona,700
1992,California,1650
1992,Texas,1270
1992,Florida,1000
1992,New York,1460
1992,Arizona,750
1993,California,1700
1993,Texas,1330
1993,Florida,1050
1993,New York,1520
1993,Arizona,800
1994,California,1900
1994,Texas,1400
1994,Florida,1100
1994,New York,1580
1994,Arizona,850
1995,California,2100
1995,Texas,1480
1995,Florida,1160
1995,New York,1650
1995,Arizona,910
1996,California,2350
1996,Texas,1550
1996,Florida,1220
1996,New York,1720
1996,Arizona,970
1997,California,2600
1997,Texas,1630
1997,Florida,1290
1997,New York,1800
1997,Arizona,1040
1998,California,2850
1998,Texas,1710
1998,Florida,1360
1998,New York,1870
1998,Arizona,1110
1999,California,3100
1999,Texas,1800
1999,Florida,1440
1999,New York,1950
1999,Arizona,1190
2000,California,3350
2000,Texas,1890
2000,Florida,1520
2000,New York,2030
2000,Arizona,1270
